bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types,duration_seconds,scaled_bytes_in,scaled_bytes_out,scaled_duration_seconds,anomaly
4793434,292176,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:00:00+00:00,waf_rule,600.0,0.8677181254196954,0.8158809429216012,0.0,Normal
16948,20348,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:00:00+00:00,waf_rule,600.0,-0.28547969264778883,-0.2523083412617926,0.0,Normal
5810,13090,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,147.161.161.82,AE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:10:00+00:00,waf_rule,600.0,-0.28816876517885787,-0.280829751214421,0.0,Normal
28730,28386,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:10:00+00:00,waf_rule,600.0,-0.28263513774017035,-0.22072180320733858,0.0,Normal
29002,15654,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,165.225.213.7,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:10:00+00:00,waf_rule,600.0,-0.28256946816498174,-0.2707541249925225,0.0,Normal
44270,21924,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,136.226.64.114,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:10:00+00:00,waf_rule,600.0,-0.27888328039299737,-0.24611521063553984,0.0,Normal
2019990,55292,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,165.225.240.79,NL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:10:00+00:00,waf_rule,600.0,0.19811926773805336,-0.11499060230000605,0.0,Normal
3498,2800,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,94.188.248.74,IL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:10:00+00:00,waf_rule,600.0,-0.28872695656796105,-0.3212658642500432,0.0,Normal
16698,26610,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:10:00+00:00,waf_rule,600.0,-0.28554005071321953,-0.2277008641161107,0.0,Normal
4794053,290955,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:10:00+00:00,waf_rule,600.0,0.8678675719897019,0.8110828385468204,0.0,Normal
6606,12794,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:10:00+00:00,waf_rule,600.0,-0.28797658509852647,-0.28199292803254966,0.0,Normal
9910,14760,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,147.161.131.1,AT,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:10:00+00:00,waf_rule,600.0,-0.2871788929057942,-0.2742672333553841,0.0,Normal
26250,13404,2024-04-26 00:20:00+00:00,2024-04-26 00:30:00+00:00,147.161.161.82,AE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26 00:20:00+00:00,waf_rule,600.0,-0.28323388974924296,-0.27959584067086557,0.0,Normal
